UtilityName,StateName,CountyName,CityName,AvgCustomersTracked,MaxCustomersOut,CustomerHoursOutTotal,CustomerHoursTrackedTotal,RecordYear,RecordMonth
Central Maine Power,Maine,Franklin,Davis,34,72,189.16,25296.0,2020,5
Eastern Maine Power Cooperative,Maine,Washington,Baileyville,290,361,130.65,216273.45,2022,7
Central Maine Power,Maine,Waldo,Liberty,854,908,1205.66,627380.33,2023,7
Central Maine Power,Maine,Knox,Owls Head,1293,1350,1306.9,959088.76,2023,7
Central Maine Power,Maine,Somerset,Parlin Pond,26,81,202.79,18934.13,2021,4
Central Maine Power,Maine,Lincoln,Southport,1150,2534,15960.48,856219.47,2018,3
Versant Power,Maine,Washington,Harrington,4,11,4.33,3385.5,2017,9
Central Maine Power,Maine,Sagadahoc,Phippsburg,2043,2087,1822.57,1520578.47,2020,5
Central Maine Power,Maine,Franklin,Rangeley Plantation,565,1303,10954.28,420906.32,2020,7
Central Maine Power,Maine,Penobscot,Exeter,26,68,1039.66,19344.0,2020,12
Eastern Maine Power Cooperative,Maine,Washington,Vanceboro,174,641,1360.41,129397.66,2022,12
Versant Power,Maine,Penobscot,Clifton,544,626,3454.45,392058.95,2020,9
Central Maine Power,Maine,Piscataquis,Big Squaw,62,93,2232.0,46128.0,2017,12
Versant Power,Maine,Piscataquis,Bowerbank,344,1385,6289.52,248382.99,2019,11
Central Maine Power,Maine,Franklin,Perkins,20,40,66.63,14880.0,2021,7
Central Maine Power,Maine,Piscataquis,Shirley,234,255,395.97,174096.0,2022,10
Central Maine Power,Maine,Kennebec,Clinton,1715,3348,46059.65,1234799.96,2017,11
Central Maine Power,Maine,Hancock,Orland,1558,1595,8169.21,1122075.44,2020,6
Versant Power,Maine,Aroostook,Smyrna,92,93,609.42,61297.4,2023,2
Central Maine Power,Maine,Somerset,Highland Plantation,50,52,55.52,37200.0,2020,7
Versant Power,Maine,Hancock,Hancock,1778,2464,2628.17,1195158.83,2023,2
Versant Power,Maine,Aroostook,Mapleton,668,1407,4487.33,492196.66,2017,10
Versant Power,Maine,Penobscot,Garland,499,1213,6202.46,335504.19,2022,2
Versant Power,Maine,Unknown,Amherst,5080,48972,317484.09,3670646.8,2016,12
Versant Power,Maine,Penobscot,Kenduskeag,592,886,8204.37,334544.59,2023,9
Versant Power,Maine,Unknown,Long A Twp,52,68,80.27,37440.0,2018,6
Versant Power,Maine,Hancock,Osborn,40,81,984.13,29760.0,2022,12
Central Maine Power,Maine,Cumberland,Chebeague Island,579,584,583.51,431235.93,2017,12
Versant Power,Maine,Hancock,Eastbrook,42,1067,13678.99,31325.5,2017,10
Central Maine Power,Maine,Piscataquis,Bowerbank,30,60,482.71,22320.0,2021,3
Central Maine Power,Maine,Oxford,Adamstown,67,284,4302.13,48240.0,2019,11
Versant Power,Maine,Penobscot,Charleston,513,744,2532.17,366117.33,2017,9
Versant Power,Maine,Aroostook,Cross Lake Twp,311,328,186.87,231027.04,2023,7
Versant Power,Maine,Unknown,Lakeview Plantation,319,507,1329.92,240386.44,2018,5
Versant Power,Maine,Piscataquis,Williamsburg Twp,51,201,1073.88,37944.0,2018,10
Central Maine Power,Maine,Somerset,West Forks Plantation,122,212,280.84,91227.15,2022,3
Central Maine Power,Maine,Cumberland,Falmouth,5862,16181,114024.21,4220639.75,2017,11
Central Maine Power,Maine,Sagadahoc,Bowdoinham,1881,4975,17818.12,1399589.28,2020,8
Central Maine Power,Maine,Somerset,Brassua,1,2,4.5,744.0,2020,8
Versant Power,Maine,Washington,Beddington,243,244,406.07,181315.97,2021,7
Versant Power,Maine,Penobscot,Burlington,248,578,4058.88,178682.22,2020,4
Versant Power,Maine,Piscataquis,Ebeemee Twp,182,376,776.91,136030.0,2020,7
Versant Power,Maine,Hancock,Sullivan,567,1797,19787.87,421719.36,2019,10
Versant Power,Maine,Hancock,Great Pond,57,112,318.34,41040.0,2019,4
Eastern Maine Power Cooperative,Maine,Washington,Calais,25,115,216.09,17774.44,2020,2
Central Maine Power,Maine,Somerset,Highland Plantation,51,80,106.18,37944.0,2022,10
Versant Power,Maine,Penobscot,Medway,764,1699,12222.61,550647.09,2020,4
Versant Power,Maine,Washington,Perry,464,879,807.66,345741.33,2019,12
Central Maine Power,Maine,Oxford,Stow,257,274,1366.89,172704.0,2022,2
Central Maine Power,Maine,Piscataquis,Shirley,217,220,443.29,161448.0,2020,7
Versant Power,Maine,Penobscot,Corinna,16,51,308.88,12281.16,2018,10
Central Maine Power,Maine,Kennebec,Mt Vernon,1318,1507,1066.55,980665.96,2019,3
Central Maine Power,Maine,Franklin,New Sharon,799,813,1463.41,537195.97,2019,2
Versant Power,Maine,Hancock,Amherst,167,496,1148.6,112476.98,2022,2
Versant Power,Maine,Washington,Pembroke,537,1071,1096.6,386718.32,2021,11
Versant Power,Maine,Penobscot,Newburgh,782,881,8559.0,444071.94,2023,9
Central Maine Power,Maine,Oxford,Lincoln Plantation,88,154,500.39,63360.0,2018,6
Central Maine Power,Maine,Somerset,Bigelow,1,4,7.0,720.0,2018,9
Eastern Maine Power Cooperative,Maine,Washington,Pembroke,8,35,5.6,5796.58,2022,9
Central Maine Power,Maine,Sagadahoc,Georgetown,1203,2413,10109.63,837865.68,2020,2
Central Maine Power,Maine,Piscataquis,Big Squaw,69,71,0.0,51575.83,2023,7
Central Maine Power,Maine,Sagadahoc,Woolwich,1705,1822,3336.08,1227699.48,2019,6
Central Maine Power,Maine,Somerset,Misery Gore,10,310,7440.0,7440.0,2018,1
Versant Power,Maine,Aroostook,Crystal,108,217,454.05,77760.0,2018,6
Versant Power,Maine,Penobscot,East Millinocket,927,928,311.57,667440.0,2019,6
Central Maine Power,Maine,Cumberland,Brunswick,11333,15094,213318.08,8432208.24,2020,12
Versant Power,Maine,Washington,Columbia Falls,9,36,70.5,7439.33,2017,10
Versant Power,Maine,Unknown,T28 Md,8,24,151.99,5760.0,2018,11
Central Maine Power,Maine,Franklin,Davis,34,76,1319.33,25296.0,2017,10
Versant Power,Maine,Hancock,Sorrento,332,1022,23158.89,247008.0,2018,1
Central Maine Power,Maine,Waldo,Burnham,787,835,1504.61,566749.59,2022,11
Versant Power,Maine,Hancock,Gouldsboro,681,905,7477.64,506663.99,2019,10
Versant Power,Maine,Aroostook,T9 R5 Wels,2,6,28.82,1488.0,2022,5
Central Maine Power,Maine,Penobscot,Hampden,17,65,607.5,12240.0,2017,11
Versant Power,Maine,Penobscot,Seboeis Plt,52,102,331.79,38688.0,2018,3
Central Maine Power,Maine,Somerset,Caratunk Plantation,171,197,216.36,127541.98,2018,5
Versant Power,Maine,Penobscot,Greenfield Twp,161,163,274.8,119784.0,2021,3
Central Maine Power,Maine,Somerset,Sapling,14,364,8633.46,10416.0,2018,3
Versant Power,Maine,Piscataquis,Dover-foxcroft,17,24,33.35,12648.0,2022,3
Central Maine Power,Maine,Oxford,West Paris,968,2281,37048.7,720356.76,2020,12
Central Maine Power,Maine,Somerset,Lexington,159,172,197.1,118296.0,2020,7
Versant Power,Maine,Piscataquis,Barnard Twp,37,39,114.74,27528.0,2018,3
Versant Power,Maine,Unknown,Oxbow Plantation,71,142,474.46,51120.0,2018,9
Central Maine Power,Maine,Oxford,Adamstown,68,139,92.6,50640.16,2020,5
Central Maine Power,Maine,Somerset,Moscow,379,546,869.04,282551.45,2018,1
Central Maine Power,Maine,Waldo,Belmont,520,1565,4168.32,387469.67,2020,1
Versant Power,Maine,Washington,Pleasant Point,104,289,531.33,74083.03,2017,11
Versant Power,Maine,Hancock,Mount Desert,708,1388,8982.41,509759.99,2019,11
Central Maine Power,Maine,Oxford,Hebron,557,2006,28278.17,415023.46,2020,12
Versant Power,Maine,Aroostook,Masardis,98,290,738.84,71949.0,2017,10
Central Maine Power,Maine,Oxford,Andover,670,678,111.26,498480.0,2021,10
Versant Power,Maine,Penobscot,Woodville,115,350,1997.39,82800.0,2018,11
Central Maine Power,Maine,Kennebec,Smithfield,2,4,5.65,1488.0,2022,7
Central Maine Power,Maine,Oxford,Adamstown,68,76,557.63,49667.02,2020,9
Central Maine Power,Maine,Lincoln,Somerville,358,738,675.9,257896.33,2019,6
Central Maine Power,Maine,Piscataquis,Blanchard Plantation,114,129,254.78,82080.0,2022,11
Versant Power,Maine,Washington,Northfield,210,213,247.79,156533.64,2020,8
Central Maine Power,Maine,Cumberland,Scarborough,11103,15648,166842.73,8260841.22,2019,10
Versant Power,Maine,Piscataquis,Bowerbank,344,692,2070.58,256678.0,2022,8
Central Maine Power,Maine,Somerset,Detroit,455,1473,27701.53,327600.0,2017,11
Central Maine Power,Maine,Piscataquis,Sangerville,925,2035,35081.96,688846.08,2020,12
Central Maine Power,Maine,Somerset,Misery Gore,10,14,60.64,7440.0,2020,3
Versant Power,Maine,Penobscot,Charleston,611,846,10800.43,455174.47,2020,12
Versant Power,Maine,Hancock,Stonington,1183,1190,6724.16,880450.65,2019,8
Versant Power,Maine,Penobscot,Garland,492,1719,13736.54,366452.97,2020,12
Central Maine Power,Maine,Hancock,Orland,1559,2219,11712.63,1160589.43,2020,12
Versant Power,Maine,Aroostook,Caswell,5,110,2490.01,3719.98,2017,12
Central Maine Power,Maine,Franklin,Phillips,692,2620,35891.01,498239.98,2020,4
Central Maine Power,Maine,Franklin,Phillips,713,789,873.9,479535.05,2023,2
Central Maine Power,Maine,Oxford,Sumner,599,1164,4904.58,403059.12,2022,2
Central Maine Power,Maine,Somerset,Embden,940,1964,30842.66,700141.99,2017,10
Central Maine Power,Maine,Franklin,Livermore,3,5,41.65,2232.0,2022,12
Versant Power,Maine,Penobscot,Carmel,25,184,1854.33,12998.0,2017,10
Versant Power,Maine,Penobscot,Lowell,264,1296,5729.75,196752.32,2022,12
Central Maine Power,Maine,Somerset,Bigelow,1,2,3.17,124.16,2017,12
Versant Power,Maine,Aroostook,Allagash,277,558,1065.4,199440.0,2018,11
Versant Power,Maine,Unknown,Dedham,6504,49018,273659.84,4783653.46,2016,12
Central Maine Power,Maine,Knox,Owls Head,1242,1679,24334.16,924050.33,2017,10
Versant Power,Maine,Penobscot,Winn,148,544,905.54,108607.33,2017,10
Central Maine Power,Maine,Somerset,Dennistown Plantation,23,69,230.2,17112.0,2018,10
Versant Power,Maine,Penobscot,Edinburg,81,162,894.31,46629.9,2023,9
Central Maine Power,Maine,Franklin,Carrabassett Valley,2557,7757,6877.52,1902407.98,2022,5
Central Maine Power,Maine,Penobscot,Stetson,708,739,895.55,527230.46,2021,7
Versant Power,Maine,Unknown,T4 Indian Purchase,6,11,13.83,4958.67,2017,9
Central Maine Power,Maine,Somerset,Madison,1168,3171,57018.32,840996.62,2020,4
Versant Power,Maine,Washington,Trescott Twp,212,235,304.29,153059.56,2020,4
Versant Power,Maine,Piscataquis,Barnard Twp,41,45,81.35,29520.0,2020,9
Versant Power,Maine,Unknown,Long A Twp,424,639,1567.26,82906.55,2016,11
Versant Power,Maine,Penobscot,Indian Island,279,620,9496.0,200880.0,2017,11
Versant Power,Maine,Aroostook,Grand Isle,288,320,246.21,214609.97,2020,10
Central Maine Power,Maine,Androscoggin,Durham,1852,3772,45982.96,1333828.72,2020,4
Central Maine Power,Maine,Somerset,Canaan,1214,1834,1493.2,903698.45,2021,12
Versant Power,Maine,Aroostook,Nashville,34,1020,24202.41,25296.0,2018,1
Versant Power,Maine,Unknown,"T9, R3, 4,5,7",1643,2231,1238.74,1210825.93,2017,1
Versant Power,Maine,Penobscot,Clifton,627,2551,29220.7,451440.0,2019,11
Central Maine Power,Maine,Penobscot,Newport,2099,4237,68523.16,1561717.63,2017,10
Versant Power,Maine,Piscataquis,Ebeemee Twp,180,247,1406.69,129600.0,2018,11
Versant Power,Maine,Piscataquis,Williamsburg Twp,53,69,104.7,38160.0,2020,9
Central Maine Power,Maine,Hancock,Verona,339,341,626.95,244627.51,2022,9
Versant Power,Maine,Aroostook,Presque Isle,1741,4870,15503.15,1280397.48,2017,10
Central Maine Power,Maine,Franklin,New Vineyard,520,1100,11193.54,374949.16,2018,11
Central Maine Power,Maine,Sagadahoc,Bath,5007,5592,4810.49,3725577.38,2020,5
Versant Power,Maine,Washington,Deblois,68,110,620.74,48960.0,2019,11
Central Maine Power,Maine,Somerset,Cambridge,284,334,2789.1,153422.41,2023,9
Eastern Maine Power Cooperative,Maine,Aroostook,Littleton,456,521,983.52,339264.0,2022,12
Versant Power,Maine,Hancock,Winter Harbor,602,605,806.67,433893.48,2018,9
Central Maine Power,Maine,Franklin,Kingfield,841,1354,1059.91,626104.57,2020,10
Versant Power,Maine,Washington,Lubec,1311,2818,20681.77,734543.4,2023,9
Versant Power,Maine,Hancock,T22 Md Bpp,16,32,167.97,11904.0,2021,3
Versant Power,Maine,Piscataquis,Sebec,73,1147,16579.6,53718.16,2017,10
Central Maine Power,Maine,Oxford,Stoneham,356,369,1919.78,264953.11,2021,7
Central Maine Power,Maine,Penobscot,Kenduskeag,147,148,0.54,98938.85,2023,2
Versant Power,Maine,Unknown,"T15, R5, 6,8,9",5080,8679,24711.89,3697353.15,2016,12
Versant Power,Maine,Penobscot,Garland,269,813,766.34,199021.67,2017,8
Versant Power,Maine,Washington,Beddington,240,714,4424.7,173210.2,2020,4
Central Maine Power,Maine,Piscataquis,Little Squaw,151,294,3028.5,112344.0,2017,10
Versant Power,Maine,Penobscot,East Millinocket,926,956,3706.51,666719.99,2018,11
Central Maine Power,Maine,Piscataquis,Beaver Cove Plantation,273,906,14282.04,203338.2,2022,12
Versant Power,Maine,Aroostook,Saint Francis,310,540,936.92,223821.83,2022,11
Versant Power,Maine,Unknown,Clifton,12,13,12.0,8974.33,2017,9
Central Maine Power,Maine,Kennebec,Mt Vernon,1320,1418,1933.95,982220.64,2019,1
Versant Power,Maine,Penobscot,Corinna,12,32,556.26,558.83,2017,10
Central Maine Power,Maine,Oxford,Gilead,177,861,12581.9,131688.0,2021,3
Central Maine Power,Maine,Oxford,Lincoln Plantation,88,176,1657.36,65472.0,2018,10
Central Maine Power,Maine,Somerset,Highland Plantation,51,102,272.66,36720.0,2021,4
Versant Power,Maine,Piscataquis,Williamsburg Twp,55,61,60.03,40973.98,2021,3
Versant Power,Maine,Piscataquis,Atkinson,185,201,220.46,133200.0,2021,6
Versant Power,Maine,Hancock,Mariaville,360,1087,10115.16,268259.16,2017,10
Versant Power,Maine,Washington,Machias,55,59,34.48,39600.0,2017,11
Central Maine Power,Maine,Franklin,Fayette,1,2,2.84,744.0,2021,12
Versant Power,Maine,Hancock,Winter Harbor,607,661,2909.65,422638.97,2020,2
Central Maine Power,Maine,Somerset,Starks,307,951,18541.33,221545.16,2020,4
Central Maine Power,Maine,Penobscot,Kenduskeag,117,188,422.31,84585.33,2018,9
Central Maine Power,Maine,Sagadahoc,Phippsburg,2053,2236,16900.88,1478563.33,2020,9
Versant Power,Maine,Piscataquis,Dover-foxcroft,17,19,152.59,9583.94,2023,9
Central Maine Power,Maine,Penobscot,Plymouth,696,2197,42874.33,518260.95,2017,12
Versant Power,Maine,Piscataquis,Brownville,871,873,1661.41,648642.27,2020,10
Versant Power,Maine,Penobscot,West Enfield,262,271,2157.76,188640.0,2019,11
Central Maine Power,Maine,Somerset,New Portland,661,754,4797.75,476042.47,2020,6
Central Maine Power,Maine,Piscataquis,Blanchard Plantation,110,170,85.02,81840.0,2019,5
Central Maine Power,Maine,York,Kennebunk,1689,3807,50919.91,1256615.94,2022,12
Versant Power,Maine,Hancock,Franklin,1090,1263,16350.08,784799.98,2018,11
Central Maine Power,Maine,Somerset,Caratunk Plantation,173,174,81.89,128712.0,2019,10
Central Maine Power,Maine,Somerset,Lexington,154,351,3384.95,111521.83,2018,11
Versant Power,Maine,Washington,Machias,16,28,32.67,11774.67,2017,9
Eastern Maine Power Cooperative,Maine,Washington,Calais,10,68,200.81,7440.0,2020,1
Versant Power,Maine,Aroostook,Mapleton,971,1010,509.64,699394.31,2019,4
Versant Power,Maine,Aroostook,Winterville,237,279,508.97,176328.0,2019,3
Central Maine Power,Maine,Waldo,Belmont,539,1027,4021.44,401016.0,2022,12
Versant Power,Maine,Penobscot,Hudson,841,1652,1795.56,1252987.58,2021,7
Versant Power,Maine,Hancock,Swans Island,500,1003,12241.0,372021.5,2017,10
Central Maine Power,Maine,Franklin,Phillips,700,1431,1249.24,521325.35,2022,3
Central Maine Power,Maine,Somerset,Starks,303,642,1797.86,225432.0,2019,12
Central Maine Power,Maine,Somerset,Canaan,1192,1249,3787.75,858240.0,2018,11
Central Maine Power,Maine,Hancock,Castine,763,1526,635.62,549360.0,2018,4
Versant Power,Maine,Penobscot,Eddington,1257,2588,4872.17,935375.78,2021,10
Central Maine Power,Maine,Franklin,Farmington,4086,7738,128714.92,3040182.52,2020,12
Central Maine Power,Maine,York,Acton,2446,5361,70346.52,1820199.65,2020,12
Central Maine Power,Maine,Piscataquis,Dover-foxcroft,2649,2778,2701.19,1780312.47,2019,2
Central Maine Power,Maine,Franklin,Carthage,343,589,537.4,246960.0,2021,4
Versant Power,Maine,Hancock,Prospect Harbor,244,490,1468.58,181708.65,2019,1
Eastern Maine Power Cooperative,Maine,Aroostook,Sherman,260,546,493.98,176029.61,2023,2
Central Maine Power,Maine,Somerset,Norridgewock,1742,1888,2323.43,1296789.68,2020,8
Central Maine Power,Maine,Somerset,Dennistown Plantation,22,92,164.87,16486.33,2017,12
Central Maine Power,Maine,Oxford,Sweden,383,794,2494.69,285490.99,2017,12
Central Maine Power,Maine,Lincoln,Edgecomb,991,2035,23272.6,738013.63,2022,12
Versant Power,Maine,Hancock,Otis,830,1593,2986.46,557760.0,2019,2
Central Maine Power,Maine,Oxford,Hanover,277,513,844.8,199929.33,2017,11
Central Maine Power,Maine,Oxford,Magalloway Plantation,73,75,1094.6,52560.0,2020,4
Versant Power,Maine,Hancock,Great Pond,65,130,378.97,46905.15,2022,11
Central Maine Power,Maine,Piscataquis,Harfords Point,139,142,256.05,103428.66,2020,7
Versant Power,Maine,Unknown,Cedar Lake Twp,424,619,1545.47,82906.55,2016,11
Central Maine Power,Maine,Somerset,Misery Gore,10,20,31.67,7440.0,2020,5
Eastern Maine Power Cooperative,Maine,Aroostook,Crystal,923,1142,0.0,681137.45,2023,7
Central Maine Power,Maine,Kennebec,Readfield,1552,2602,904.48,1042944.0,2019,2
Central Maine Power,Maine,Oxford,Gilead,174,210,487.53,130012.49,2020,1
Versant Power,Maine,Waldo,Winterport,307,326,423.96,206304.0,2023,2
Versant Power,Maine,Washington,Cutler,426,529,2967.1,317038.98,2018,3
Versant Power,Maine,Washington,Deblois,63,99,365.99,46872.0,2021,10
Eastern Maine Power Cooperative,Maine,Washington,Indian Township,44,95,70.22,31297.73,2023,4
Versant Power,Maine,Piscataquis,Brownville,873,907,2080.46,650221.5,2021,5
Versant Power,Maine,Hancock,Otis,811,1705,4848.3,583920.0,2022,11
Central Maine Power,Maine,Cumberland,North Yarmouth,1674,6153,69026.09,1205279.95,2017,11
Versant Power,Maine,Aroostook,Smyrna Mills,92,460,10178.23,68448.0,2018,5
Versant Power,Maine,Aroostook,Ludlow,18,36,14.97,12960.0,2022,11
Versant Power,Maine,Unknown,T28 Md,8,11,19.31,5952.0,2018,12
Versant Power,Maine,Washington,Northfield,214,216,470.55,154442.82,2021,4
Central Maine Power,Maine,Franklin,Freeman,256,394,685.49,146524.94,2023,9
Central Maine Power,Maine,Androscoggin,Mechanic Falls,1595,2151,25742.65,1187081.92,2022,12
Central Maine Power,Maine,Franklin,Canton,1,3,3.17,218.15,2020,12
Versant Power,Maine,Unknown,Pretty Marsh,101,495,732.87,75144.0,2018,5
Central Maine Power,Maine,Oxford,Porter,939,1132,2659.0,698724.19,2021,7
Versant Power,Maine,Penobscot,Orono,3565,4950,15254.51,2567015.83,2023,4
Versant Power,Maine,Piscataquis,Medford,158,478,5593.0,113760.0,2019,11
Central Maine Power,Maine,Somerset,Mercer,458,2421,38564.81,330419.99,2020,4
Versant Power,Maine,Piscataquis,Grand Falls Twp,17,48,68.26,12240.0,2021,6
Central Maine Power,Maine,Waldo,Lincolnville,1883,2108,19401.87,1076482.59,2023,9
Central Maine Power,Maine,Sagadahoc,Bowdoinham,1805,5930,77023.2,1299599.93,2017,11
Central Maine Power,Maine,Piscataquis,Frenchtown,110,220,221.41,79200.0,2020,4
Versant Power,Maine,Unknown,"T17, R3, 12",765,2824,65673.67,550800.0,2017,11
Versant Power,Maine,Hancock,Winter Harbor,7,8,13.67,3898.33,2017,8
Eastern Maine Power Cooperative,Maine,Penobscot,Lakeville,326,345,452.19,235276.14,2022,11
Versant Power,Maine,Aroostook,Ludlow,18,39,65.39,13392.0,2021,12
Central Maine Power,Maine,Oxford,Lovell,1388,7537,103477.76,1033211.47,2022,12
Central Maine Power,Maine,Oxford,Stoneham,375,736,2451.03,279000.0,2019,12
Central Maine Power,Maine,Penobscot,Kenduskeag,133,135,44.35,95873.97,2020,6
Versant Power,Maine,Penobscot,East Millinocket,926,928,158.4,622810.82,2019,2
Versant Power,Maine,Hancock,Brooksville,949,1996,24050.79,684526.1,2020,4
Versant Power,Maine,Aroostook,Benedicta Twp,193,215,175.61,143911.65,2022,12
Central Maine Power,Maine,Somerset,Sapling,14,434,10416.0,10416.0,2018,1
Central Maine Power,Maine,Somerset,Misery Gore,10,18,39.67,7440.0,2018,8
Versant Power,Maine,Piscataquis,Medford,174,594,5393.12,129456.0,2022,12
Versant Power,Maine,Penobscot,East Millinocket,646,938,600.84,469945.33,2017,11
Versant Power,Maine,Aroostook,Crystal,112,117,255.17,83649.98,2022,12
Versant Power,Maine,Penobscot,Stillwater,9,26,217.66,7121.83,2017,9
Versant Power,Maine,Unknown,Saint John,162,486,1026.62,120528.0,2018,10
Versant Power,Maine,Unknown,Waltham,3297,37738,242504.62,2382881.94,2016,12
Central Maine Power,Maine,Franklin,Kingfield,873,1332,295.71,642160.93,2023,7
Central Maine Power,Maine,Piscataquis,Cambridge,1,2,5.34,194.49,2021,2
Central Maine Power,Maine,Penobscot,Dexter,2290,3790,59019.03,1704384.73,2020,12
Central Maine Power,Maine,Piscataquis,Frenchtown,105,261,517.03,76252.78,2019,4
Central Maine Power,Maine,Waldo,Lincolnville,1777,2862,7755.24,1322167.31,2018,10
Versant Power,Maine,Aroostook,Smyrna Mills,90,92,188.17,40254.17,2017,8
Central Maine Power,Maine,Waldo,Northport,1333,1584,20793.56,960292.17,2019,11
Central Maine Power,Maine,Oxford,Peru,1030,1590,4957.04,717470.67,2020,2
Versant Power,Maine,Aroostook,Allagash,281,297,531.92,202652.68,2022,9
Versant Power,Maine,Unknown,Saint John,162,314,392.02,116640.0,2019,9
Versant Power,Maine,Piscataquis,Brownville Junction,337,642,1538.9,250728.0,2020,3
Central Maine Power,Maine,Oxford,Greenwood,906,945,1759.63,652339.3,2022,9
Central Maine Power,Maine,Cumberland,Yarmouth,4454,8940,153579.53,3314515.22,2017,10
Central Maine Power,Maine,Lincoln,Boothbay Harbor,2579,3283,29861.94,1919110.95,2022,12
Central Maine Power,Maine,Piscataquis,Frenchtown,99,294,4081.0,73658.33,2017,10
Central Maine Power,Maine,Franklin,Salem,184,388,771.45,137061.01,2018,8
Versant Power,Maine,Penobscot,Indian Island,71,741,10163.7,46552.17,2017,10
Eastern Maine Power Cooperative,Maine,Aroostook,Sherman,146,168,337.03,108060.95,2022,5
Eastern Maine Power Cooperative,Maine,Washington,Baileyville,100,289,2745.66,71506.84,2022,4
Versant Power,Maine,Penobscot,Passadumkeag,84,261,3580.61,60323.67,2018,11
Central Maine Power,Maine,Waldo,Waldo,411,1287,15245.93,295920.0,2017,11
Central Maine Power,Maine,Somerset,Solon,707,1473,23804.07,526104.12,2020,12
Versant Power,Maine,Aroostook,Nashville,37,45,18.05,27528.0,2019,1
Central Maine Power,Maine,Franklin,Temple,316,631,8326.5,235104.0,2017,10
Versant Power,Maine,Penobscot,Grindstone Twp,50,201,235.92,37200.0,2022,5
Central Maine Power,Maine,Piscataquis,Shirley,235,268,285.98,174918.3,2022,12
Central Maine Power,Maine,Oxford,Albany,357,380,714.6,265887.5,2020,3
Central Maine Power,Maine,Cumberland,Standish,5364,9592,131630.0,3991114.08,2022,12
Central Maine Power,Maine,Penobscot,Exeter,26,30,58.02,19344.0,2018,8
Central Maine Power,Maine,Oxford,Sumner,601,1925,28587.25,447530.33,2022,12
Central Maine Power,Maine,Oxford,Hanover,274,609,3417.69,197459.49,2018,11
Central Maine Power,Maine,Kennebec,Belgrade,2625,8803,139681.09,1953099.72,2020,12
Central Maine Power,Maine,Piscataquis,Willimantic,289,466,3727.4,164873.48,2023,9
Versant Power,Maine,Aroostook,Sheridan,62,63,10.52,46594.98,2019,1
Central Maine Power,Maine,Sagadahoc,Georgetown,1195,1415,1733.27,889125.03,2017,12
Central Maine Power,Maine,Piscataquis,Greenville,1824,1894,10485.08,1313744.46,2020,6
Eastern Maine Power Cooperative,Maine,Aroostook,Houlton,1,3,0.0,908.3,2022,2
Versant Power,Maine,Unknown,T17 R4,482,572,1916.83,358362.0,2017,10
Versant Power,Maine,Aroostook,Smyrna Mills,92,93,380.24,68448.0,2018,10
Versant Power,Maine,Hancock,Aurora,101,144,0.38,72644.05,2023,7
Eastern Maine Power Cooperative,Maine,Aroostook,Weston,5,60,30.29,4173.47,2021,10
Central Maine Power,Maine,Somerset,Pittsfield,2125,2588,12792.72,1530634.58,2019,11
Central Maine Power,Maine,Oxford,Andover,653,658,1107.87,470211.16,2019,6
Central Maine Power,Maine,Franklin,Weld,613,2814,41362.42,456072.0,2020,12
Central Maine Power,Maine,Kennebec,Randolph,951,1875,29344.67,707560.33,2017,10
Central Maine Power,Maine,Piscataquis,Monson,593,1201,2489.51,441833.14,2020,5
Central Maine Power,Maine,Oxford,Greenwood,895,1189,11080.27,644557.97,2020,4
Versant Power,Maine,Washington,Eastport,1251,1255,5673.21,930836.47,2019,12
Versant Power,Maine,Unknown,Sutton Island,26,806,19344.0,19344.0,2017,12
Central Maine Power,Maine,Oxford,Brownfield,1044,2104,5709.18,777318.63,2017,12
Versant Power,Maine,Unknown,Town Hill,329,355,4865.65,236880.0,2017,11
Eastern Maine Power Cooperative,Maine,Washington,Cooper,33,250,123.54,21624.78,2021,10
Central Maine Power,Maine,Waldo,Thorndike,415,875,705.87,298800.0,2018,4
Versant Power,Maine,Hancock,Penobscot,83,266,772.67,59940.0,2017,11
Versant Power,Maine,Aroostook,Saint Francis,309,915,1422.56,230185.81,2022,1
Central Maine Power,Maine,Piscataquis,Blanchard Plantation,111,588,10212.92,79920.0,2020,4
Versant Power,Maine,Washington,Roque Bluffs,25,255,390.54,19265.48,2017,12
Central Maine Power,Maine,Oxford,Canton,519,633,1839.65,349143.52,2019,2
Central Maine Power,Maine,Piscataquis,Willimantic,287,288,7.55,202108.84,2023,7
Central Maine Power,Maine,Somerset,Tomhegan,178,336,750.71,132656.66,2018,1
Central Maine Power,Maine,Somerset,Moscow,402,691,1780.61,299192.97,2022,10
Eastern Maine Power Cooperative,Maine,Penobscot,Mattawamkeag,163,166,0.0,123406.21,2023,5
Central Maine Power,Maine,Franklin,Jay,2475,3167,46440.07,1842190.47,2020,12
Central Maine Power,Maine,Cumberland,Pownal,836,843,3364.42,621989.31,2023,3
Versant Power,Maine,Penobscot,Dexter,41,128,2930.17,29520.0,2017,11
Central Maine Power,Maine,Franklin,Strong,707,815,2871.02,526605.01,2018,5
Central Maine Power,Maine,Oxford,Upton,183,232,1335.93,136152.0,2019,10
Central Maine Power,Maine,Kennebec,Mt Vernon,1329,3713,6578.24,989431.01,2020,3
Central Maine Power,Maine,Somerset,Highland Plantation,51,63,672.28,37944.0,2021,3
Central Maine Power,Maine,Waldo,Troy,526,528,2619.49,378847.98,2018,9
Versant Power,Maine,Hancock,Sorrento,347,692,1385.44,258666.17,2022,10
