UtilityName,StateName,CountyName,CityName,AvgCustomersTracked,MaxCustomersOut,CustomerHoursOutTotal,CustomerHoursTrackedTotal,RecordYear,RecordMonth
Versant Power,Maine,Aroostook,Stockholm,168,679,8905.63,125659.07,2022,12
Versant Power,Maine,Aroostook,Westmanland,118,359,604.98,88300.83,2020,10
Central Maine Power,Maine,Franklin,New Vineyard,519,1261,20656.19,373820.67,2020,4
Versant Power,Maine,Aroostook,Stockholm,164,495,2566.45,118470.82,2018,11
Versant Power,Maine,Aroostook,T9 R5 Wels,2,6,29.34,1488.0,2022,12
Central Maine Power,Maine,Piscataquis,Shirley,214,712,2130.09,154307.84,2018,11
Versant Power,Maine,Aroostook,Nashville Plt,34,40,24.23,24480.0,2022,11
Versant Power,Maine,Hancock,Sunset,17,52,904.17,12240.0,2017,11
Central Maine Power,Maine,Somerset,Tomhegan,230,958,4123.75,171202.63,2021,3
Versant Power,Maine,Hancock,Brooklin,639,2593,4892.57,454342.5,2017,9
Versant Power,Maine,Aroostook,Woodland,647,854,1716.43,482012.51,2020,5
Central Maine Power,Maine,Franklin,Strong,752,932,2805.79,430132.32,2023,9
Central Maine Power,Maine,Oxford,Minot,3,7,65.81,2226.0,2022,12
Central Maine Power,Maine,Franklin,Perkins,17,18,29.99,12669.5,2019,7
Central Maine Power,Maine,Sagadahoc,West Bath,1342,3150,16543.24,934284.98,2020,2
Central Maine Power,Maine,Cumberland,Old Orchard Beach,1,2,5.19,140.15,2021,2
Central Maine Power,Maine,Androscoggin,Greene,2209,6344,89055.6,1644032.78,2020,12
Central Maine Power,Maine,Oxford,Andover,684,848,934.12,492932.94,2022,9
Central Maine Power,Maine,Kennebec,Benton,1392,3166,27163.94,1036114.5,2022,12
Central Maine Power,Maine,Oxford,Waterford,1546,2069,5049.66,1113722.66,2022,9
Versant Power,Maine,Penobscot,Garland,491,3226,51628.08,353763.6,2020,4
Versant Power,Maine,Hancock,Mariaville,444,1020,7604.62,254321.2,2023,9
Central Maine Power,Maine,Androscoggin,Livermore,1338,4175,36300.68,995821.37,2022,12
Central Maine Power,Maine,Somerset,Skowhegan,5173,9342,137733.76,3724579.76,2020,4
Central Maine Power,Maine,Oxford,Norway,3288,5056,40800.33,2446787.53,2020,8
Central Maine Power,Maine,Franklin,Kingfield,824,1594,12400.92,613056.0,2018,10
Central Maine Power,Maine,York,North Berwick,2556,2694,6258.68,1891929.45,2023,5
Versant Power,Maine,Hancock,Sullivan,944,1173,10217.92,525677.15,2023,9
Central Maine Power,Maine,Somerset,Rockwood Strip T1r1,11,22,42.12,8184.0,2019,8
Central Maine Power,Maine,Oxford,Adamstown,68,206,500.98,51138.67,2018,1
Versant Power,Maine,Washington,Beddington,239,482,285.65,178457.96,2020,7
Versant Power,Maine,Aroostook,Silver Ridge Twp,43,84,105.07,31992.0,2022,3
Versant Power,Maine,Washington,Cutler,450,521,3428.84,240183.95,2023,9
Versant Power,Maine,Penobscot,Soldiertown Twp T2 R7 Wels,10,39,168.76,5014.9,2020,4
Versant Power,Maine,Unknown,"T2, R4, 6,7,8",57,71,55.77,42408.0,2018,8
Central Maine Power,Maine,Waldo,Prospect,384,767,12456.39,276480.0,2020,4
Central Maine Power,Maine,Waldo,Lincolnville,1785,3397,22243.86,1285772.73,2019,11
Central Maine Power,Maine,Somerset,Caratunk Plantation,172,331,1089.03,127968.0,2018,7
Versant Power,Maine,Penobscot,Charleston,614,1259,20408.17,456815.99,2017,10
Central Maine Power,Maine,Cumberland,Naples,3522,7279,114633.21,2618977.23,2017,10
Versant Power,Maine,Piscataquis,T4 R9 Nwp,3,6,81.52,2232.0,2022,12
Central Maine Power,Maine,York,South Berwick,3402,4446,15892.74,2368415.08,2020,2
Central Maine Power,Maine,Oxford,Magalloway Plantation,73,438,3933.34,52560.0,2018,11
Central Maine Power,Maine,Franklin,Rangeley Plantation,562,1138,1771.2,418272.47,2020,5
Central Maine Power,Maine,Kennebec,Mercer,2,4,3.73,1344.0,2023,2
Eastern Maine Power Cooperative,Maine,Penobscot,Mattawamkeag,296,344,0.0,219203.84,2023,8
Versant Power,Maine,Penobscot,Eddington,1219,2039,7401.47,906935.98,2018,3
Versant Power,Maine,Penobscot,Ta R7 Wels,9,12,45.18,6696.0,2020,12
Versant Power,Maine,Aroostook,Caswell,186,384,6413.85,138929.53,2022,12
Versant Power,Maine,Aroostook,Wallagrass,367,520,504.88,273265.16,2021,3
Eastern Maine Power Cooperative,Maine,Penobscot,Patten,3,8,11.34,2471.8,2020,1
Versant Power,Maine,Aroostook,Limestone,851,855,2415.6,633538.33,2019,12
Versant Power,Maine,Penobscot,Seboeis Plt,55,226,1783.11,39600.0,2018,11
Versant Power,Maine,Penobscot,Bradford,650,1262,3687.03,468000.0,2018,11
Central Maine Power,Maine,Cumberland,Harpswell,4692,5372,17044.86,3378570.07,2022,4
Versant Power,Maine,Penobscot,Indian Island,301,373,3649.47,217175.33,2019,11
Eastern Maine Power Cooperative,Maine,Penobscot,Webster,1049,4682,9320.59,780455.99,2022,12
Central Maine Power,Maine,Oxford,Paris,3001,3193,5354.52,2161137.24,2019,6
Central Maine Power,Maine,Cumberland,Brunswick,11003,23243,230476.56,7921904.3,2017,11
Central Maine Power,Maine,Somerset,Athens,625,752,6696.5,465667.26,2022,12
Central Maine Power,Maine,Somerset,Sapling,24,39,164.87,17856.0,2022,3
Central Maine Power,Maine,Franklin,Jim Pond,3,6,8.0,2232.0,2020,10
Central Maine Power,Maine,Knox,Hope,1022,2986,33922.92,761078.29,2019,10
Central Maine Power,Maine,Piscataquis,Willimantic,285,462,826.92,205200.0,2023,4
Central Maine Power,Maine,Sagadahoc,Georgetown,1229,1547,4993.12,914954.6,2021,10
Versant Power,Maine,Hancock,Sedgwick,850,1928,16280.35,612527.54,2020,4
Central Maine Power,Maine,Oxford,Gilead,175,378,587.29,126581.66,2019,6
Eastern Maine Power Cooperative,Maine,Aroostook,Haynesville,163,502,445.07,109897.44,2022,2
Central Maine Power,Maine,Piscataquis,Beaver Cove Plantation,260,940,3209.1,187200.0,2017,11
Central Maine Power,Maine,Franklin,Industry,571,940,4317.84,411120.0,2017,11
Central Maine Power,Maine,Waldo,Monroe,560,694,4424.1,416992.31,2019,10
Central Maine Power,Maine,Oxford,Hartford,726,928,1324.23,540355.82,2018,7
Eastern Maine Power Cooperative,Maine,Aroostook,Moro Plantation,11,34,11.31,8231.69,2021,12
Central Maine Power,Maine,Somerset,Starks,303,1148,1707.1,218714.49,2019,6
Versant Power,Maine,Aroostook,New Canada,171,291,0.87,126574.06,2023,5
Versant Power,Maine,Washington,Woodland,207,1030,3563.84,151770.0,2017,10
Versant Power,Maine,Aroostook,Oakfield,317,452,199.5,228484.01,2020,4
Versant Power,Maine,Hancock,Hancock,1568,3381,1213.07,1130818.06,2019,6
Versant Power,Maine,Piscataquis,Levant,25,28,28.48,18600.0,2021,12
Central Maine Power,Maine,Oxford,Sweden,380,425,50.95,283459.71,2021,7
Central Maine Power,Maine,Oxford,Buckfield,1057,2365,36476.54,787144.99,2017,10
Versant Power,Maine,Penobscot,Hudson,816,1634,10598.0,1214207.98,2018,12
Versant Power,Maine,Penobscot,Glenburn,2090,2100,3610.96,1555010.93,2022,1
Central Maine Power,Maine,Piscataquis,Greenville,1975,2247,2260.1,1428908.15,2023,7
Versant Power,Maine,Piscataquis,Medford,171,185,1.15,125832.43,2023,5
Versant Power,Maine,Unknown,Seboeis Plt,424,639,1543.81,82906.55,2016,11
Central Maine Power,Maine,Waldo,Thorndike,408,809,13561.49,304291.33,2017,10
Versant Power,Maine,Washington,Marion Twp,47,85,861.69,33983.14,2020,4
Central Maine Power,Maine,Penobscot,Carmel,1430,1518,530.79,1029879.73,2020,6
Central Maine Power,Maine,Somerset,Concord,127,160,289.82,85344.0,2023,2
Central Maine Power,Maine,Waldo,Thorndike,417,502,4097.44,310887.53,2020,10
Versant Power,Maine,Washington,Steuben,1001,1226,0.88,701773.96,2023,7
Central Maine Power,Maine,Somerset,Misery Gore,10,32,71.32,7440.0,2018,10
Central Maine Power,Maine,Lincoln,Dresden,1000,2158,11399.03,535660.8,2023,9
Versant Power,Maine,Unknown,T4 Indian Purchase Twp,240,342,2021.72,172800.0,2018,11
Central Maine Power,Maine,Piscataquis,Willimantic,278,586,3160.14,200706.67,2017,11
Central Maine Power,Maine,Penobscot,Etna,619,791,2309.45,445952.82,2018,6
Central Maine Power,Maine,Penobscot,Stetson,718,875,1832.54,482496.0,2022,2
Central Maine Power,Maine,Piscataquis,Blanchard Plantation,113,133,663.89,81360.0,2020,9
Central Maine Power,Maine,Piscataquis,Harfords Point,145,292,506.42,108241.29,2022,8
Versant Power,Maine,Unknown,Eastbrook,4373,13781,32927.01,1651306.13,2016,12
Versant Power,Maine,Penobscot,T4 Indian Purchase Twp,256,362,3807.71,190946.16,2022,12
Central Maine Power,Maine,Oxford,Albany,354,682,1512.84,254967.34,2018,9
Central Maine Power,Maine,Franklin,Davis,34,168,2557.68,25296.0,2017,12
Versant Power,Maine,Washington,Northfield,221,492,3912.06,124116.67,2023,9
Versant Power,Maine,Aroostook,Portage,534,1053,792.13,397296.0,2019,1
Versant Power,Maine,Aroostook,Limestone,438,568,404.46,309414.17,2017,8
Versant Power,Maine,Hancock,Stonington,1228,2267,2751.4,913632.0,2020,3
Central Maine Power,Maine,Piscataquis,Bowerbank,30,124,76.72,22587.49,2020,5
Versant Power,Maine,Penobscot,Clifton,547,589,1790.36,407088.04,2022,5
Versant Power,Maine,Penobscot,Bradford,640,1116,18891.73,476159.99,2022,12
Versant Power,Maine,Washington,Northfield,215,431,690.58,160190.86,2021,7
Central Maine Power,Maine,Piscataquis,Dover-foxcroft,2618,2783,13367.39,1948382.95,2017,10
Central Maine Power,Maine,Somerset,TAUNTON   RAYNHAM ACADEMY GRANT,606,662,1189.39,436767.26,2022,6
Versant Power,Maine,Piscataquis,Lake View Plt,482,750,1494.89,358824.83,2022,5
Versant Power,Maine,Piscataquis,Bowerbank,347,694,4.27,256611.22,2023,5
Central Maine Power,Maine,Cumberland,Saco,1,3,5.17,744.0,2022,12
Central Maine Power,Maine,Penobscot,Plymouth,712,994,564.53,513337.04,2021,6
Versant Power,Maine,Aroostook,New Canada,170,332,249.64,126480.0,2022,5
Versant Power,Maine,Piscataquis,Bowerbank,348,398,0.34,257443.35,2023,8
Versant Power,Maine,Hancock,Blue Hill,2226,2642,8576.05,1656807.95,2021,10
Versant Power,Maine,Penobscot,Winn,92,96,393.0,32462.33,2017,8
Central Maine Power,Maine,Franklin,Coplin Plantation,207,656,745.32,154008.0,2021,12
Central Maine Power,Maine,Cumberland,Harmony,1,2,4.17,120.3,2021,5
Versant Power,Maine,Hancock,Blue Hill,2476,8981,49071.06,1781603.76,2017,11
Central Maine Power,Maine,Penobscot,Exeter,28,154,3474.5,20197.17,2017,11
Versant Power,Maine,Unknown,Grand Falls Twp,17,51,164.23,12648.0,2019,10
Central Maine Power,Maine,Oxford,Hartford,740,750,290.68,532825.67,2020,6
Versant Power,Maine,Washington,Trescott Twp,220,443,669.49,163680.0,2023,3
Central Maine Power,Maine,Franklin,Rangeley Plantation,571,1280,2390.68,424824.0,2021,12
Central Maine Power,Maine,York,Limerick,1968,6109,95964.62,1464167.77,2022,12
Versant Power,Maine,Hancock,Seal Cove,334,562,4327.26,240480.0,2019,11
Central Maine Power,Maine,Hancock,Verona,344,352,130.73,255936.0,2023,3
Versant Power,Maine,Aroostook,Ludlow,16,30,105.33,11520.0,2018,11
Versant Power,Maine,Piscataquis,Ebeemee Twp,181,197,520.6,134664.0,2022,10
Eastern Maine Power Cooperative,Maine,Washington,Alexander,242,655,749.08,180048.0,2022,12
Central Maine Power,Maine,Piscataquis,Greenville,1939,3757,11789.74,1443175.01,2022,7
Central Maine Power,Maine,Oxford,Lincoln Plantation,89,269,698.76,66216.0,2020,10
Central Maine Power,Maine,Waldo,Thorndike,415,434,5465.17,299094.83,2019,11
Versant Power,Maine,Aroostook,Blaine,429,451,1242.49,319435.89,2022,7
Versant Power,Maine,Piscataquis,Williamsburg Twp,51,60,84.83,37944.0,2019,1
