County,Year,Average Outage Hours per Customer,UtilityName
Piscataquis,2021,10.971173618891665,"Central Maine Power, Versant Power, Versant Power, Central Maine Power"
Piscataquis,2022,17.544656386420694,"Versant Power, Central Maine Power, Central Maine Power, Versant Power"
Piscataquis,2023,7.095663851780722,"Central Maine Power, Versant Power, Versant Power, Central Maine Power"
Sagadahoc,2016,6.349394983490227,Central Maine Power
Sagadahoc,2017,10.856325945856021,Central Maine Power
Sagadahoc,2018,11.523013708219098,Central Maine Power
Sagadahoc,2019,29.474855456041787,Central Maine Power
Sagadahoc,2020,48.42054962288676,Central Maine Power
Sagadahoc,2021,6.867060065144601,Central Maine Power
Sagadahoc,2022,29.144871924109864,Central Maine Power
Sagadahoc,2023,13.891893916051247,Central Maine Power
Somerset,2016,1.962186431142762,Central Maine Power
Somerset,2017,2.7105245928245205,Central Maine Power
Somerset,2018,19.44570194892473,Central Maine Power
Somerset,2019,27.632096846902225,Central Maine Power
Somerset,2020,77.58435116779856,Central Maine Power
Somerset,2021,7.691492889484089,Central Maine Power
Somerset,2022,14.44280821044137,Central Maine Power
Somerset,2023,8.207458782104391,Central Maine Power
Waldo,2016,6.022960451602742,Central Maine Power
Waldo,2017,4.714461268409487,"Central Maine Power, Central Maine Power, Versant Power"
Waldo,2018,10.849249342433826,"Central Maine Power, Versant Power"
Waldo,2019,16.492571061818676,"Central Maine Power, Versant Power"
Waldo,2020,73.75341584158417,"Central Maine Power, Versant Power"
Waldo,2021,6.08502422095996,"Central Maine Power, Versant Power"
Waldo,2022,22.68725959367946,"Central Maine Power, Versant Power"
Waldo,2023,7.674458638371025,"Central Maine Power, Versant Power"
Washington,2017,41.90204161758931,Versant Power
Washington,2018,20.651135556162888,"Versant Power, Versant Power, Eastern Maine Power Cooperative"
Washington,2019,13.398179144103334,"Versant Power, Eastern Maine Power Cooperative"
Washington,2020,10.88163538063156,"Eastern Maine Power Cooperative, Versant Power, Versant Power, Eastern Maine Power Cooperative"
Washington,2021,3.261460509714863,"Versant Power, Eastern Maine Power Cooperative, Eastern Maine Power Cooperative, Versant Power"
Washington,2022,14.722708771224386,"Versant Power, Eastern Maine Power Cooperative, Eastern Maine Power Cooperative, Versant Power"
Washington,2023,13.850596676432641,"Versant Power, Eastern Maine Power Cooperative, Eastern Maine Power Cooperative, Versant Power"
York,2016,0.3460681350288332,Central Maine Power
York,2017,7.757530088210795,Central Maine Power
York,2018,9.517086670314546,Central Maine Power
York,2019,11.107276472078084,Central Maine Power
York,2020,20.165273116521774,Central Maine Power
York,2021,6.593290098558967,Central Maine Power
York,2022,24.453190354338386,Central Maine Power
York,2023,14.609987057639263,Central Maine Power
