UtilityProvider,Year,MeanOutageHours,CI_Lower,CI_Upper
Central Maine Power,2018,14.28197867977642,12.94560669329527,15.746411791565961
Central Maine Power,2019,16.94568567100879,15.506110363089626,18.510813093968014
Central Maine Power,2020,41.745831110884176,38.77738765616889,44.93579883008884
Central Maine Power,2021,7.987218437636162,7.252555563380598,8.787282815058141
Central Maine Power,2022,19.207053514062935,17.13693423466108,21.51345273887924
Central Maine Power,2023,5.54016693087966,4.890204144915367,6.261850766360232
Eastern Maine Power Cooperative,2018,4.274823623658998,3.1709392507715197,5.670862985013349
Eastern Maine Power Cooperative,2019,2.0400985929327375,1.338147950629721,2.9527864146759653
Eastern Maine Power Cooperative,2020,1.7730924164676023,1.2175627312281168,2.4677898586486773
Eastern Maine Power Cooperative,2021,0.8645964501220651,0.5644005163499539,1.2223975800772942
Eastern Maine Power Cooperative,2022,4.399520179053607,3.1618813538234303,6.005201658913992
Eastern Maine Power Cooperative,2023,2.1691087391060955,1.5044847737627083,3.0101063122814544
Versant Power,2018,21.582957227307784,18.699881014634656,24.88797144264736
Versant Power,2019,15.693886457267002,13.528736462019602,18.181698682239244
Versant Power,2020,16.90332323137809,14.40431020142926,19.807746568065262
Versant Power,2021,7.107975689287628,6.37899370345409,7.9089749117561645
Versant Power,2022,20.92376223436304,18.70341425334225,23.39431787449483
Versant Power,2023,5.56768675947769,4.739318034437422,6.515615812157494
Average,2018,13.37991984358107,,
Average,2019,11.559890240402844,,
Average,2020,20.140748919576623,,
Average,2021,5.319930192348618,,
Average,2022,14.843445309159861,,
Average,2023,4.425654143154482,,
